Time,PPG
28.233,38
28.271,38
28.305,41
28.337,41
28.374,42
28.408,44
28.447,51
28.477,61
28.512,66
28.552,65
28.588,59
28.624,53
28.653,46
28.688,41
28.724,39
28.759,42
28.799,45
28.828,47
28.863,47
28.901,44
28.933,40
28.970,38
29.003,37
29.042,37
29.074,36
29.107,37
29.147,40
29.177,44
29.213,53
29.254,61
29.285,63
29.324,59
29.353,50
29.390,41
29.432,37
29.473,39
29.497,42
29.529,44
29.564,45
29.609,44
29.637,43
29.667,43
29.703,43
29.747,44
29.775,44
29.810,44
29.848,47
29.882,54
29.922,61
29.952,65
29.984,62
30.020,56
30.055,48
30.096,43
30.123,38
30.160,40
30.193,42
30.227,43
30.262,43
30.297,43
30.334,43
30.368,43
30.402,44
30.438,42
30.482,43
30.515,48
30.549,59
30.581,69
30.619,72
30.653,66
30.684,55
30.721,45
30.763,40
30.790,36
30.826,36
30.860,38
30.895,41
30.927,41
30.963,42
31.002,42
31.034,41
31.071,40
31.109,39
31.139,40
31.178,45
31.212,56
31.243,65
31.282,69
31.317,66
31.350,58
31.385,49
31.420,43
31.454,38
31.487,37
31.522,40
31.557,42
31.593,42
31.629,41
31.675,41
31.701,40
31.735,40
31.767,40
31.813,40
31.838,43
31.878,51
31.912,62
31.943,68
31.978,66
32.021,59
32.050,50
32.085,43
32.117,38
32.152,38
32.188,39
32.222,42
32.258,44
32.292,44
32.327,43
32.370,42
32.402,41
32.435,40
32.470,41
32.516,46
32.540,57
32.573,67
32.608,70
32.645,66
32.677,57
32.715,49
32.748,42
32.785,38
32.818,38
32.854,41
32.889,43
32.923,43
32.958,42
32.992,41
33.028,40
33.062,40
33.098,41
33.137,41
33.167,43
33.203,52
33.242,64
33.279,72
33.309,72
33.347,64
33.388,53
33.413,44
33.447,38
33.485,37
33.518,38
33.556,41
33.589,43
33.625,44
33.657,43
33.692,43
33.728,41
33.762,40
33.804,41
33.836,41
33.867,42
33.904,48
33.938,60
33.983,71
34.012,74
34.046,68
34.083,59
34.115,49
34.150,41
34.184,36
34.217,37
34.253,39
34.287,42
34.322,44
34.358,43
34.394,42
34.434,41
34.474,41
34.502,40
34.532,39
34.577,39
34.602,40
34.638,43
34.679,52
34.713,62
34.744,68
34.779,66
34.816,59
34.850,50
34.885,42
34.921,36
34.953,35
34.987,38
35.023,41
35.059,44
35.092,44
35.128,43
35.163,42
35.198,41
35.236,40
35.272,41
35.303,42
35.338,42
35.373,46
35.410,56
35.447,62
35.479,64
35.515,59
35.548,51
35.583,43
35.617,40
35.654,38
35.690,38
35.722,40
35.760,41
35.793,41
35.827,41
35.865,40
35.907,39
35.932,40
35.969,41
36.007,42
36.038,46
36.078,54
36.111,62
36.148,64
36.181,60
36.216,52
36.251,45
36.284,42
36.318,41
36.354,42
36.387,43
36.423,45
36.459,45
36.493,44
36.527,43
36.562,43
36.600,42
36.634,42
36.670,43
36.702,46
36.740,56
36.773,66
36.808,71
36.846,66
36.882,58
36.914,49
36.948,43
36.983,40
37.017,40
37.053,42
37.092,42
37.124,43
37.157,43
37.195,41
37.239,40
37.263,40
37.298,40
37.344,41
37.370,42
37.409,47
37.461,65
37.494,72
37.529,72
37.564,64
37.605,56
37.634,47
37.699,42
37.710,40
37.753,40
37.779,44
37.808,46
37.857,46
37.877,44
37.914,42
37.955,40
37.981,40
38.026,39
38.058,38
38.091,38
38.128,40
38.163,48
38.194,59
38.232,65
38.262,64
38.301,57
38.338,49
38.368,43
38.401,38
38.438,37
38.471,38
38.506,41
38.545,43
38.577,43
38.615,42
38.647,41
38.688,41
38.724,40
38.751,39
38.795,40
38.827,45
38.888,55
38.896,64
38.931,68
38.961,63
38.998,54
39.037,45
39.066,38
39.101,36
39.138,38
39.172,40
39.212,43
39.244,45
39.282,44
39.313,43
39.348,42
39.384,41
39.416,41
39.453,41
39.491,46
39.524,56
39.556,65
39.598,69
39.628,65
39.664,55
39.697,46
39.733,40
39.769,37
39.802,38
39.836,41
39.875,43
39.915,44
39.943,43
39.978,41
40.011,40
40.055,40
40.082,40
40.120,41
40.152,42
40.186,46
40.227,56
40.259,72
40.294,83
40.330,83
40.368,77
40.403,64
40.432,55
40.468,49
40.502,50
40.536,53
40.579,54
40.607,54
40.642,53
40.676,51
40.718,47
40.746,42
40.781,37
40.825,36
40.852,35
40.893,20
40.927,20
40.974,20
40.994,40
41.027,53
41.064,70
41.096,80
41.131,74
41.166,59
41.203,44
41.236,37
41.271,20
41.313,35
41.351,38
41.376,43
41.412,46
41.453,49
41.482,48
41.521,44
41.553,39
41.590,35
41.622,20
41.658,20
41.692,36
41.727,38
41.763,40
41.796,40
41.831,39
